episode,n_segments,total_len,mean_seg_len
gs://xembodiment_data/r2d2/r2d2-data-full/ILIAD/success/2023-06-03/Sat_Jun__3_19:17:04_2023/trajectory.h5,8,453,56.625
gs://xembodiment_data/r2d2/r2d2-data-full/RAIL/success/2023-09-01/Fri_Sep__1_16:03:00_2023/trajectory.h5,8,277,34.625
gs://xembodiment_data/r2d2/r2d2-data-full/RPL/success/2023-04-26/Wed_Apr_26_18:00:13_2023/trajectory.h5,5,176,35.2
gs://xembodiment_data/r2d2/r2d2-data-full/IPRL/success/2023-09-22/Fri_Sep_22_21:37:07_2023/trajectory.h5,14,615,43.92857142857143
gs://xembodiment_data/r2d2/r2d2-data-full/RAIL/success/2023-06-30/Fri_Jun_30_15:38:02_2023/trajectory.h5,3,95,31.666666666666668
gs://xembodiment_data/r2d2/r2d2-data-full/IPRL/success/2023-10-11/Wed_Oct_11_22:36:58_2023/trajectory.h5,6,234,39.0
gs://xembodiment_data/r2d2/r2d2-data-full/IRIS/success/2023-04-27/Thu_Apr_27_14:19:48_2023/trajectory.h5,5,207,41.4
gs://xembodiment_data/r2d2/r2d2-data-full/TRI/success/2023-11-21/Tue_Nov_21_10:24:14_2023/trajectory.h5,7,415,59.285714285714285
gs://xembodiment_data/r2d2/r2d2-data-full/REAL/success/2023-09-07/Thu_Sep__7_13:02:39_2023/trajectory.h5,13,404,31.076923076923077
gs://xembodiment_data/r2d2/r2d2-data-full/ILIAD/success/2023-07-24/Mon_Jul_24_17:02:18_2023/trajectory.h5,5,169,33.8
gs://xembodiment_data/r2d2/r2d2-data-full/AUTOLab/success/2023-10-13/Fri_Oct_13_20:21:59_2023/trajectory.h5,5,139,27.8
gs://xembodiment_data/r2d2/r2d2-data-full/RPL/success/2023-06-04/Sun_Jun__4_14:30:44_2023/trajectory.h5,6,181,30.166666666666668
gs://xembodiment_data/r2d2/r2d2-data-full/BVL/success/2024-02-04/Sun_Feb__4_17:24:15_2024/trajectory.h5,6,197,32.833333333333336
gs://xembodiment_data/r2d2/r2d2-data-full/TRI/success/2023-11-29/Wed_Nov_29_10:32:07_2023/trajectory.h5,4,480,120.0
gs://xembodiment_data/r2d2/r2d2-data-full/REAL/success/2023-07-25/Tue_Jul_25_14:39:34_2023/trajectory.h5,5,162,32.4
gs://xembodiment_data/r2d2/r2d2-data-full/RAIL/success/2023-07-13/Thu_Jul_13_20:21:48_2023/trajectory.h5,4,103,25.75
gs://xembodiment_data/r2d2/r2d2-data-full/WEIRD/success/2023-11-21/Tue_Nov_21_20:51:30_2023/trajectory.h5,19,788,41.473684210526315
gs://xembodiment_data/r2d2/r2d2-data-full/TRI/success/2024-02-05/Mon_Feb__5_10:17:41_2024/trajectory.h5,12,523,43.583333333333336
gs://xembodiment_data/r2d2/r2d2-data-full/TRI/success/2024-01-16/Tue_Jan_16_16:47:26_2024/trajectory.h5,3,136,45.333333333333336
gs://xembodiment_data/r2d2/r2d2-data-full/BVL/success/2024-02-01/Thu_Feb__1_21:35:42_2024/trajectory.h5,4,192,48.0
gs://xembodiment_data/r2d2/r2d2-data-full/RAIL/success/2023-10-03/Tue_Oct__3_11:32:22_2023/trajectory.h5,3,109,36.333333333333336
gs://xembodiment_data/r2d2/r2d2-data-full/TRI/success/2024-02-22/Thu_Feb_22_13:33:04_2024/trajectory.h5,3,158,52.666666666666664
gs://xembodiment_data/r2d2/r2d2-data-full/TRI/success/2023-08-09/Wed_Aug__9_14:09:17_2023/trajectory.h5,4,134,33.5
gs://xembodiment_data/r2d2/r2d2-data-full/RAIL/success/2023-11-14/Tue_Nov_14_18:26:15_2023/trajectory.h5,4,135,33.75
gs://xembodiment_data/r2d2/r2d2-data-full/TRI/success/2024-01-23/Tue_Jan_23_15:42:16_2024/trajectory.h5,7,267,38.142857142857146
gs://xembodiment_data/r2d2/r2d2-data-full/ILIAD/success/2023-07-24/Mon_Jul_24_17:19:23_2023/trajectory.h5,3,115,38.333333333333336
gs://xembodiment_data/r2d2/r2d2-data-full/IRIS/success/2023-04-07/Fri_Apr__7_14_00_48_2023/trajectory.h5,4,145,36.25
gs://xembodiment_data/r2d2/r2d2-data-full/AUTOLab/success/2023-07-07/Fri_Jul__7_10:49:15_2023/trajectory.h5,11,544,49.45454545454545
gs://xembodiment_data/r2d2/r2d2-data-full/REAL/success/2023-04-14/Fri_Apr_14_16_23_42_2023/trajectory.h5,6,431,71.83333333333333
gs://xembodiment_data/r2d2/r2d2-data-full/AUTOLab/success/2023-08-12/Sat_Aug_12_18:11:24_2023/trajectory.h5,26,835,32.11538461538461
gs://xembodiment_data/r2d2/r2d2-data-full/IPRL/success/2023-06-27/Tue_Jun_27_20:35:27_2023/trajectory.h5,10,330,33.0
gs://xembodiment_data/r2d2/r2d2-data-full/TRI/success/2023-12-04/Mon_Dec__4_10:38:51_2023/trajectory.h5,8,286,35.75
gs://xembodiment_data/r2d2/r2d2-data-full/BVL/success/2024-02-04/Sun_Feb__4_21:00:29_2024/trajectory.h5,7,480,68.57142857142857
gs://xembodiment_data/r2d2/r2d2-data-full/CLVR/success/2023-05-29/Mon_May_29_23:24:06_2023/trajectory.h5,4,153,38.25
gs://xembodiment_data/r2d2/r2d2-data-full/IPRL/success/2023-04-19/Wed_Apr_19_18:13:26_2023/trajectory.h5,5,215,43.0
gs://xembodiment_data/r2d2/r2d2-data-full/TRI/success/2023-12-06/Wed_Dec__6_13:49:13_2023/trajectory.h5,5,177,35.4
gs://xembodiment_data/r2d2/r2d2-data-full/ILIAD/success/2023-07-17/Mon_Jul_17_21:29:45_2023/trajectory.h5,2,110,55.0
gs://xembodiment_data/r2d2/r2d2-data-full/REAL/success/2023-07-04/Tue_Jul__4_12:35:23_2023/trajectory.h5,9,376,41.77777777777778
gs://xembodiment_data/r2d2/r2d2-data-full/PennPAL/success/2023-10-24/Tue_Oct_24_16:27:30_2023/trajectory.h5,10,382,38.2
gs://xembodiment_data/r2d2/r2d2-data-full/IRIS/success/2023-06-30/Sat_Jul__1_00:13:41_2023/trajectory.h5,7,220,31.428571428571427
gs://xembodiment_data/r2d2/r2d2-data-full/RPL/success/2023-12-05/Tue_Dec__5_15:59:56_2023/trajectory.h5,10,649,64.9
gs://xembodiment_data/r2d2/r2d2-data-full/CLVR/success/2023-05-17/Wed_May_17_18:59:14_2023/trajectory.h5,5,232,46.4
gs://xembodiment_data/r2d2/r2d2-data-full/TRI/success/2023-12-13/Wed_Dec_13_11:21:22_2023/trajectory.h5,2,180,90.0
gs://xembodiment_data/r2d2/r2d2-data-full/TRI/success/2024-01-04/Thu_Jan__4_16:11:20_2024/trajectory.h5,8,201,25.125
gs://xembodiment_data/r2d2/r2d2-data-full/IPRL/success/2023-06-30/Fri_Jun_30_17:22:12_2023/trajectory.h5,4,208,52.0
gs://xembodiment_data/r2d2/r2d2-data-full/WEIRD/success/2023-12-15/Fri_Dec_15_23:57:13_2023/trajectory.h5,8,290,36.25
gs://xembodiment_data/r2d2/r2d2-data-full/IPRL/success/2023-10-08/Sun_Oct__8_14:31:25_2023/trajectory.h5,10,379,37.9
gs://xembodiment_data/r2d2/r2d2-data-full/IPRL/success/2023-09-22/Fri_Sep_22_19:41:17_2023/trajectory.h5,5,195,39.0
gs://xembodiment_data/r2d2/r2d2-data-full/ILIAD/success/2023-08-20/Sun_Aug_20_11:12:27_2023/trajectory.h5,8,386,48.25
gs://xembodiment_data/r2d2/r2d2-data-full/AUTOLab/success/2023-12-15/Fri_Dec_15_22:45:26_2023/trajectory.h5,21,692,32.95238095238095
gs://xembodiment_data/r2d2/r2d2-data-full/IPRL/success/2023-05-05/Fri_May__5_17:46:08_2023/trajectory.h5,3,81,27.0
gs://xembodiment_data/r2d2/r2d2-data-full/IRIS/success/2023-03-01/Wed_Mar__1_21_49_42_2023/trajectory.h5,3,138,46.0
gs://xembodiment_data/r2d2/r2d2-data-full/PennPAL/success/2023-08-16/Wed_Aug_16_18:20:33_2023/trajectory.h5,16,587,36.6875
gs://xembodiment_data/r2d2/r2d2-data-full/AUTOLab/success/2023-12-13/Wed_Dec_13_20:41:31_2023/trajectory.h5,9,361,40.111111111111114
gs://xembodiment_data/r2d2/r2d2-data-full/IPRL/success/2023-10-18/Wed_Oct_18_21:36:24_2023/trajectory.h5,24,696,29.0
gs://xembodiment_data/r2d2/r2d2-data-full/IRIS/success/2023-07-13/Thu_Jul_13_14:15:57_2023/trajectory.h5,4,234,58.5
gs://xembodiment_data/r2d2/r2d2-data-full/REAL/success/2023-09-07/Thu_Sep__7_12:53:45_2023/trajectory.h5,9,300,33.333333333333336
gs://xembodiment_data/r2d2/r2d2-data-full/PennPAL/success/2023-06-16/Fri_Jun_16_18:00:15_2023/trajectory.h5,5,169,33.8
gs://xembodiment_data/r2d2/r2d2-data-full/IRIS/success/2023-04-28/Fri_Apr_28_11:50:44_2023/trajectory.h5,6,207,34.5
gs://xembodiment_data/r2d2/r2d2-data-full/TRI/success/2023-11-06/Mon_Nov__6_16:30:19_2023/trajectory.h5,11,610,55.45454545454545
gs://xembodiment_data/r2d2/r2d2-data-full/AUTOLab/success/2023-07-26/Wed_Jul_26_18:37:37_2023/trajectory.h5,6,306,51.0
gs://xembodiment_data/r2d2/r2d2-data-full/AUTOLab/success/2023-11-07/Tue_Nov__7_14:28:26_2023/trajectory.h5,7,282,40.285714285714285
gs://xembodiment_data/r2d2/r2d2-data-full/BVL/success/2024-02-01/Thu_Feb__1_16:34:34_2024/trajectory.h5,5,242,48.4
gs://xembodiment_data/r2d2/r2d2-data-full/CLVR/success/2023-05-09/Tue_May__9_04:50:58_2023/trajectory.h5,6,205,34.166666666666664
gs://xembodiment_data/r2d2/r2d2-data-full/RAIL/success/2023-08-28/Mon_Aug_28_13:18:45_2023/trajectory.h5,6,328,54.666666666666664
gs://xembodiment_data/r2d2/r2d2-data-full/BVL/success/2024-02-01/Thu_Feb__1_20:44:01_2024/trajectory.h5,7,268,38.285714285714285
gs://xembodiment_data/r2d2/r2d2-data-full/PennPAL/success/2023-08-23/Wed_Aug_23_21:50:45_2023/trajectory.h5,22,813,36.95454545454545
gs://xembodiment_data/r2d2/r2d2-data-full/GuptaLab/success/2023-07-08/Mon_Jul_10_11:34:23_2023/trajectory.h5,24,912,38.0
gs://xembodiment_data/r2d2/r2d2-data-full/TRI/success/2023-10-26/Thu_Oct_26_13:32:47_2023/trajectory.h5,16,675,42.1875
gs://xembodiment_data/r2d2/r2d2-data-full/ILIAD/success/2023-08-19/Sat_Aug_19_11:46:56_2023/trajectory.h5,5,170,34.0
gs://xembodiment_data/r2d2/r2d2-data-full/IPRL/success/2023-07-01/Sat_Jul__1_15:36:57_2023/trajectory.h5,4,546,136.5
gs://xembodiment_data/r2d2/r2d2-data-full/ILIAD/success/2023-06-03/Sat_Jun__3_20:48:29_2023/trajectory.h5,8,382,47.75
gs://xembodiment_data/r2d2/r2d2-data-full/IPRL/success/2023-11-24/Fri_Nov_24_20:58:12_2023/trajectory.h5,8,403,50.375
gs://xembodiment_data/r2d2/r2d2-data-full/RAIL/success/2023-07-13/Thu_Jul_13_21:18:24_2023/trajectory.h5,4,107,26.75
gs://xembodiment_data/r2d2/r2d2-data-full/TRI/success/2023-08-07/Mon_Aug__7_16:02:50_2023/trajectory.h5,3,142,47.333333333333336
gs://xembodiment_data/r2d2/r2d2-data-full/TRI/success/2023-11-16/Thu_Nov_16_10:38:02_2023/trajectory.h5,4,192,48.0
gs://xembodiment_data/r2d2/r2d2-data-full/AUTOLab/success/2023-11-30/Thu_Nov_30_04:14:08_2023/trajectory.h5,2,636,318.0
gs://xembodiment_data/r2d2/r2d2-data-full/ILIAD/success/2023-07-18/Tue_Jul_18_09:54:06_2023/trajectory.h5,2,121,60.5
gs://xembodiment_data/r2d2/r2d2-data-full/RPL/success/2023-12-04/Mon_Dec__4_18:46:02_2023/trajectory.h5,4,678,169.5
gs://xembodiment_data/r2d2/r2d2-data-full/ILIAD/success/2023-06-30/Fri_Jun_30_17:59:51_2023/trajectory.h5,8,247,30.875
gs://xembodiment_data/r2d2/r2d2-data-full/IPRL/success/2023-10-16/Mon_Oct_16_20:17:39_2023/trajectory.h5,16,519,32.4375
gs://xembodiment_data/r2d2/r2d2-data-full/IRIS/success/2023-05-09/Tue_May__9_11:05:40_2023/trajectory.h5,6,250,41.666666666666664
gs://xembodiment_data/r2d2/r2d2-data-full/RPL/success/2023-12-07/Thu_Dec__7_21:50:17_2023/trajectory.h5,29,1157,39.89655172413793
gs://xembodiment_data/r2d2/r2d2-data-full/RAIL/success/2023-06-29/Thu_Jun_29_12:57:45_2023/trajectory.h5,3,162,54.0
gs://xembodiment_data/r2d2/r2d2-data-full/BVL/success/2024-02-04/Sun_Feb__4_13:25:48_2024/trajectory.h5,2,174,87.0
gs://xembodiment_data/r2d2/r2d2-data-full/WEIRD/success/2023-11-21/Tue_Nov_21_19:18:38_2023/trajectory.h5,10,607,60.7
gs://xembodiment_data/r2d2/r2d2-data-full/IRIS/success/2023-04-24/Mon_Apr_24_14:29:07_2023/trajectory.h5,6,256,42.666666666666664
gs://xembodiment_data/r2d2/r2d2-data-full/RAD/success/2023-12-19/Tue_Dec_19_11:26:58_2023/trajectory.h5,2,210,105.0
gs://xembodiment_data/r2d2/r2d2-data-full/TRI/success/2024-01-02/Tue_Jan__2_10:46:49_2024/trajectory.h5,5,223,44.6
gs://xembodiment_data/r2d2/r2d2-data-full/AUTOLab/success/2023-12-15/Fri_Dec_15_23:32:46_2023/trajectory.h5,14,473,33.785714285714285
gs://xembodiment_data/r2d2/r2d2-data-full/CLVR/success/2023-06-06/Tue_Jun__6_01:09:39_2023/trajectory.h5,4,146,36.5
gs://xembodiment_data/r2d2/r2d2-data-full/IRIS/success/2023-06-01/Thu_Jun__1_15:13:06_2023/trajectory.h5,3,129,43.0
gs://xembodiment_data/r2d2/r2d2-data-full/AUTOLab/success/2023-08-12/Sat_Aug_12_16:12:24_2023/trajectory.h5,7,212,30.285714285714285
gs://xembodiment_data/r2d2/r2d2-data-full/RPL/success/2023-12-01/Fri_Dec__1_18:15:20_2023/trajectory.h5,11,468,42.54545454545455
gs://xembodiment_data/r2d2/r2d2-data-full/ILIAD/success/2023-12-01/Fri_Dec__1_17:58:31_2023/trajectory.h5,3,132,44.0
gs://xembodiment_data/r2d2/r2d2-data-full/TRI/success/2024-01-17/Wed_Jan_17_14:04:38_2024/trajectory.h5,10,501,50.1
gs://xembodiment_data/r2d2/r2d2-data-full/RPL/success/2023-12-04/Mon_Dec__4_15:46:25_2023/trajectory.h5,13,680,52.30769230769231
gs://xembodiment_data/r2d2/r2d2-data-full/TRI/success/2023-10-30/Mon_Oct_30_15:12:22_2023/trajectory.h5,9,431,47.888888888888886
gs://xembodiment_data/r2d2/r2d2-data-full/TRI/success/2024-01-16/Tue_Jan_16_15:52:38_2024/trajectory.h5,12,451,37.583333333333336
gs://xembodiment_data/r2d2/r2d2-data-full/IRIS/success/2023-05-25/Thu_May_25_13:45:26_2023/trajectory.h5,3,141,47.0
gs://xembodiment_data/r2d2/r2d2-data-full/IRIS/success/2023-04-20/Thu_Apr_20_15:26:12_2023/trajectory.h5,5,318,63.6
gs://xembodiment_data/r2d2/r2d2-data-full/RAIL/success/2023-06-15/Thu_Jun_15_13:35:52_2023/trajectory.h5,4,167,41.75
gs://xembodiment_data/r2d2/r2d2-data-full/REAL/success/2023-08-24/Thu_Aug_24_14:16:25_2023/trajectory.h5,14,408,29.142857142857142
gs://xembodiment_data/r2d2/r2d2-data-full/AUTOLab/success/2023-11-24/Fri_Nov_24_19:11:33_2023/trajectory.h5,20,782,39.1
gs://xembodiment_data/r2d2/r2d2-data-full/RAIL/success/2023-06-30/Fri_Jun_30_15:05:53_2023/trajectory.h5,3,121,40.333333333333336
gs://xembodiment_data/r2d2/r2d2-data-full/IRIS/success/2023-04-07/Fri_Apr__7_13:37:55_2023/trajectory.h5,3,124,41.333333333333336
gs://xembodiment_data/r2d2/r2d2-data-full/IPRL/success/2023-09-23/Sat_Sep_23_00:47:19_2023/trajectory.h5,11,604,54.90909090909091
gs://xembodiment_data/r2d2/r2d2-data-full/WEIRD/success/2023-12-11/Mon_Dec_11_19:50:34_2023/trajectory.h5,5,230,46.0
gs://xembodiment_data/r2d2/r2d2-data-full/BVL/success/2024-01-30/Tue_Jan_30_19:08:12_2024/trajectory.h5,11,502,45.63636363636363
gs://xembodiment_data/r2d2/r2d2-data-full/RAIL/success/2023-05-20/Sat_May_20_14:45:01_2023/trajectory.h5,4,141,35.25
gs://xembodiment_data/r2d2/r2d2-data-full/TRI/success/2023-10-24/Tue_Oct_24_14:29:05_2023/trajectory.h5,7,257,36.714285714285715
gs://xembodiment_data/r2d2/r2d2-data-full/AUTOLab/success/2023-11-30/Thu_Nov_30_02:41:56_2023/trajectory.h5,29,1005,34.6551724137931
gs://xembodiment_data/r2d2/r2d2-data-full/PennPAL/success/2023-07-19/Wed_Jul_19_17:16:24_2023/trajectory.h5,3,514,171.33333333333334
gs://xembodiment_data/r2d2/r2d2-data-full/RAIL/success/2023-04-12/Wed_Apr_12_15:13:17_2023/trajectory.h5,6,216,36.0
gs://xembodiment_data/r2d2/r2d2-data-full/IPRL/success/2023-08-24/Thu_Aug_24_13:24:06_2023/trajectory.h5,6,228,38.0
gs://xembodiment_data/r2d2/r2d2-data-full/RPL/success/2023-12-01/Fri_Dec__1_21:35:40_2023/trajectory.h5,15,766,51.06666666666667
gs://xembodiment_data/r2d2/r2d2-data-full/RAIL/success/2023-06-26/Mon_Jun_26_13:36:34_2023/trajectory.h5,7,194,27.714285714285715
gs://xembodiment_data/r2d2/r2d2-data-full/TRI/success/2024-01-17/Wed_Jan_17_17:29:30_2024/trajectory.h5,5,256,51.2
gs://xembodiment_data/r2d2/r2d2-data-full/ILIAD/success/2023-06-11/Sun_Jun_11_15:53:52_2023/trajectory.h5,6,506,84.33333333333333
gs://xembodiment_data/r2d2/r2d2-data-full/IRIS/success/2023-12-08/Fri_Dec__8_14:24:02_2023/trajectory.h5,7,258,36.857142857142854
gs://xembodiment_data/r2d2/r2d2-data-full/CLVR/success/2023-05-15/Mon_May_15_22:44:35_2023/trajectory.h5,6,220,36.666666666666664
gs://xembodiment_data/r2d2/r2d2-data-full/PennPAL/success/2023-06-16/Fri_Jun_16_16:34:17_2023/trajectory.h5,5,228,45.6
gs://xembodiment_data/r2d2/r2d2-data-full/IRIS/success/2023-03-13/Mon_Mar_13_15_09_09_2023/trajectory.h5,3,93,31.0
gs://xembodiment_data/r2d2/r2d2-data-full/RPL/success/2023-12-07/Thu_Dec__7_17:41:24_2023/trajectory.h5,18,799,44.388888888888886
gs://xembodiment_data/r2d2/r2d2-data-full/RAIL/success/2023-04-12/Wed_Apr_12_16:52:18_2023/trajectory.h5,6,185,30.833333333333332
gs://xembodiment_data/r2d2/r2d2-data-full/IPRL/success/2023-10-12/Thu_Oct_12_23:03:10_2023/trajectory.h5,21,684,32.57142857142857
gs://xembodiment_data/r2d2/r2d2-data-full/IRIS/success/2023-03-08/Wed_Mar__8_13_19_12_2023/trajectory.h5,3,141,47.0
gs://xembodiment_data/r2d2/r2d2-data-full/ILIAD/success/2023-09-03/Sun_Sep__3_21:01:16_2023/trajectory.h5,5,370,74.0
gs://xembodiment_data/r2d2/r2d2-data-full/PennPAL/success/2023-07-07/Fri_Jul__7_19:56:18_2023/trajectory.h5,12,624,52.0
gs://xembodiment_data/r2d2/r2d2-data-full/TRI/success/2023-11-07/Tue_Nov__7_13:44:24_2023/trajectory.h5,4,185,46.25
gs://xembodiment_data/r2d2/r2d2-data-full/REAL/success/2023-07-25/Tue_Jul_25_12:29:36_2023/trajectory.h5,6,281,46.833333333333336
gs://xembodiment_data/r2d2/r2d2-data-full/ILIAD/success/2023-08-19/Sat_Aug_19_11:32:44_2023/trajectory.h5,7,304,43.42857142857143
gs://xembodiment_data/r2d2/r2d2-data-full/RAIL/success/2023-10-06/Fri_Oct__6_09:48:35_2023/trajectory.h5,4,124,31.0
gs://xembodiment_data/r2d2/r2d2-data-full/WEIRD/success/2024-01-19/Fri_Jan_19_22:33:21_2024/trajectory.h5,20,1132,56.6
gs://xembodiment_data/r2d2/r2d2-data-full/REAL/success/2023-06-10/Sat_Jun_10_14:37:54_2023/trajectory.h5,4,156,39.0
gs://xembodiment_data/r2d2/r2d2-data-full/AUTOLab/success/2023-11-26/Sun_Nov_26_15:57:09_2023/trajectory.h5,7,296,42.285714285714285
gs://xembodiment_data/r2d2/r2d2-data-full/AUTOLab/success/2023-12-15/Fri_Dec_15_18:33:28_2023/trajectory.h5,32,1194,37.3125
gs://xembodiment_data/r2d2/r2d2-data-full/IRIS/success/2023-07-17/Mon_Jul_17_15:20:15_2023/trajectory.h5,8,270,33.75
gs://xembodiment_data/r2d2/r2d2-data-full/ILIAD/success/2023-11-03/Fri_Nov__3_15:15:24_2023/trajectory.h5,16,817,51.0625
gs://xembodiment_data/r2d2/r2d2-data-full/IRIS/success/2023-05-18/Thu_May_18_13:52:04_2023/trajectory.h5,5,221,44.2
gs://xembodiment_data/r2d2/r2d2-data-full/TRI/success/2023-10-30/Mon_Oct_30_17:32:59_2023/trajectory.h5,4,232,58.0
gs://xembodiment_data/r2d2/r2d2-data-full/IPRL/success/2023-12-18/Mon_Dec_18_16:27:17_2023/trajectory.h5,4,166,41.5
gs://xembodiment_data/r2d2/r2d2-data-full/RAIL/success/2023-06-30/Fri_Jun_30_14:06:39_2023/trajectory.h5,6,212,35.333333333333336
